,이름,제조사,주원료,규격,도수,설명
527,주향담을,농업회사법인 담을,"쌀, 국, 효모, 정제수",500ml,41%,"옹기 장인 ""이윤"" 대표가 직접 빚는 술로, 41%의 도수에도 부드러우며 깔끔합니다. 3년간의 기나긴 항아리 숙성 시간을 거쳐 국내산 순수 우리쌀로만 빚어낸 프리미엄 증류식 소주입니다. 장기 숙성의 특징인 부드러움과 깔끔한 속성을 가지면서도 시음 후 오래도록 화려한 향이 남게되는 술입니다."
528,주향아라,농업회사법인 담을,"쌀, 국, 효모, 정제수",500ml,55%,"주향아라는 3년간의 기나긴 항아리 숙성을 거칩니다. 숙성이 가능한 무유 옹기병에 병입 숙성으로 만들어져 부드럽고 깔끔합니다, 화려한 향이 병입의 상태에서도 연속하여 점점 깊어지게 됩니다."
529,한산예담은 한산소곡화주,한산예담은소곡주,"찹쌀, 멥쌀, 누룩, 대두, 구절초",500ml,41%,한산소곡주를 소줏고리에 불을 지펴서 증류하여 만든 술로 소곡화주 또는 불소곡주라고도 불립니다. 한산소곡화주는 국내산 찹쌀과 누룩을 주원료로 빚은 한산소곡주를 한방울 한방울 정성을 다하여 증류시켜 만든 고도주(高度酒)입니다. 강한 첫맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급원주을 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어납니다. 2016년 대한민국 우리술품평회 일반증류주 부문에서 장려상을 수상하였습니다.
530,예천주 사월24,농업회사법인(주)착한농부,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",375ml,24%,"""예천주 사월""는 경북 예천의 친환경 오미자를 원료로 국세청으로부터 이전 받은 특허공법과 농업회사법인(주)착한농부의 주류 생산 역량이 결합하여 탄생한 프리미엄 오미자 증류주입니다. 맑고 투명한 주황 빛깔에 오미자 특유의 오묘하고 상큼한 향, 그리고 오미자의 다섯 가지 맛을 느낄 수 있는 제품입니다. 다수의 주류품평회에서 수상하여 맛과 품질을 인정 받았습니다. 춤출사(娑), 달월(月)을 브랜드로하고 있는 ""예천주 사월""은 입안에 머금으면 달빛아래 춤을 출듯한 같은 느낌을 표현한다고 합니다."
531,예천주 사월365,농업회사법인(주)착한농부,"오미자(국내산)증류원액, 건오미자(국내산)추출액, 정제수",375ml,36.5%,"""예천주 사월""는 경북 예천의 친환경 오미자를 원료로 국세청으로부터 이전 받은 특허공법과 농업회사법인(주)착한농부의 주류 생산 역량이 결합하여 탄생한 프리미엄 오미자 증류주입니다. 맑고 투명한 주황 빛깔에 오미자 특유의 오묘하고 상큼한 향, 그리고 오미자의 다섯 가지 맛을 느낄 수 있는 제품입니다. 다수의 주류품평회에서 수상하여 맛과 품질을 인정 받았습니다. 춤출사(娑), 달월(月)을 브랜드로하고 있는 ""예천주 사월""은 입안에 머금으면 달빛아래 춤을 출듯한 같은 느낌을 표현한다고 합니다."
532,밤빛머루,농업회사법인 산들벗(주),무주 머루,360ml,16.9%,"밤빛머루는 해발 500m 청정지역 무주에서 재배한 머루를 발효한 와인을 증류해 만든 증류주입니다. 1차 증류를 통해 45도 원액을 3.8% 사용해 희석한 16.9도 술입니다. 10월에 수확한 머루만 사용했으며 음용 시 부드럽고, 은은한 향과 깔끔한 뒷맛이 일품입니다."
533,추사47,예산사과와인,"예산사과(100%), 효모",500ml,47%,예산사과와인에서 직접 재배한 사과를 증류한 사과증류주입니다. 2500일이 넘는 기다림을 통해 탄생한 추사47은 첨가물 없이 하나의 오크통을 선별 후 그대로 추출해 세상에 단 400병만 존재합니다. 부드러운 바닐라향과 사과향의 풍미를 느낄 수 있습니다.
534,명작복분자,국순당고창명주(주0,복분자,375ml,13%,"고창 황토지역에서 서해안해풍을 맞고 자란 복분자중 매년당도와 과육이 뛰어난 2,3차 수확분으로 술을 빚어 단맛과 신맛이 조화를 이루면서 복분자고유의 맛과 향이 일품이다. 효모균을 이용한 저온발효를 통해 최상의 숙성시간을 거쳐 만들어진 프리미엄급 복분자주이다."
535,머루이야기,산들벗(주),국내산 머루(전북 무주),350ml,12%,"평균 해발500미터, 백두대간의 중심에 위치한 무주는 반딧불이가사는 청정지역이다. 고랭지에서 재배된 산머루를 발효시켜 새콤함과 달콤함이 잘 어우러져 맛과 향이 뛰어날 뿐 아니라 크산토필에 의한 자주색색소가 많아 탄력 유지에도 좋다."
536,샤토미소 로제스위트와인,도란원,국내산 포도원액,375ml,12%,"우리입맛에 맞는 한국형와인의 가치를 높이기 위해 우리포도로 만든 와인으로서 포도를 재경파쇄하고, 착즙하여 순수주스만을 도란원만의 제조비법으로 발효하여 은은한 향과 빛깔이 아름답고 풍미가 새콤달콤하고 상큼한 맛의 조화가 부드러우며 복숭아, 딸기, 장미향으로 환상적인 아로마를 연출한다."
537,레드듀 RED DEW,동강산머루영농조합법인,무농약머루,750ml,13%,일교차가 큰 석회암지대에서 재배된 100% 친환경 무농약인증산 머루원료를 발효시켜 제조한 친환경와인이다. 머루특유의 묵직한 맛에 신맛과 단맛이 잘 어우러져 있다.
538,자두와인,자두사랑,국내산 자두,750ml,12%,"전국 자두생산량1위의 김천에서 자두 중에서도 맛과 색이 뛰어난 우수한 품종의 자두를 선별하여 자체설비 및 기술력으로 신선한 과즙을 얻어내 만들어지며, 순수발효와인으로 알콜도수 12%의 기호성이 높은 와인이다. 6개월 이상의 저온숙성과정을 거쳐 새콤달콤하고 상쾌한 맛이 특징이며, 자두특유의 향과 색이 잘 살아있고 자두 속에 포함된 많은 기능성성분이 그대로 함유되어있는 건강주로도 효능이 높은 술이다. 피자두로 만든 레드와인과 후무사로 만든 화이트와인이 있다."
539,오미로제 스파클링 와인,문경주조,국내산 오미자,750ml,12%,"유기농 오미자를 원료로 정통 샴페인공법으로 제조한 세계 최초의 오미자 스파클링 와인. 유기농 오미자를 3년이상 숙성하여 만들었으며, 향긋한 붉은 과일의 섬세한 버블이 코를 자극한다. 첫 맛은 새콤달콤하고, 뒤이어 다시 한번 향긋한 맛이 입안 전체를 감싼다. 목넘김과 함께 모든 갈증이 사라지고, 긴 자연의 향기가 여운으로 남는다."
540,프리미엄 애플와인 한스오차드,㈜한국애플리즈,국내산 사과,750ml,11%,의성사과로 만든 프리미엄 사과와인으로 달큼한 사과향과 부드러운 목넘김이 느껴진다. 합성 착향료 등 첨가물이 들어가지 않은 와인이다.
541,그랑꼬또 청수,그린영농조합,포도,750ml,12%,"그랑꼬또 청수는 새꼼하면서도 깔끔한 맛과 향, 그리고 한국음식과 딱맞는 궁합을 보여주는 와인이다. 포도 청수품종은 생식용 포도로 육성된 품종으로 술을 빚기에 매우 좋아서 양조용 포도로 많은 관심을 끌고 있다. 청수의 특징은 풍부한 과일향과 화이트와인이 꼭 갖춰야 할 산뜻한 산미가 조화를 이루는 점이다. 해외 화이트와인 양조용 포도품종으로 만든 제품과 블라인드 평가에서도 매우 우수한 평가를 받은 품종이다."
542,그랑꼬또 로제와인,그린영농조합,포도,750ml,12%,"그랑꼬또(Grnad Coteau)와인은 청정지역을 자랑하는 대부도의 큰 언덕에서 생산한다는 의미를 담고 있다. 바닷가의 뜨거운 열기와 습도, 낮과 밤의 심한 기온차, 미네랄이 풍부한 토양 등 포도재배에 필요한 천혜 입지조건을 갖춘 안산시 대부도에서 생산하는 와인이다. 그랑꼬또 로제와인은 한국인 입맛에 맞도록 많은 개발 끝에 탄생한 제품이다. 은은하고 달콤한 향, 첫맛은 달콤함, 다음은 청량감, 그리고 마지막엔 깔끔하면서도 약간 드라이한 맛이 골고루 느껴지는 제품이다. 그랑꼬또 로제와인은 포도 껍질을 같이 넣고 발효시키다가 어느 정도 우러나면 껍질을 제거하고 과육만으로 만든다."
543,그랑꼬또 M56,그린영농조합,포도,750ml,12%,"그랑꼬또 M56은 포도 껍질을 같이 넣고 발효시키다가 어느 정도 우러나면 껍질을 제거하고 과육만으로 만든다. 레드와인과 화이트와인의 중간인 연하고 부드러운 핑크빛깔을 띠며, 상큼한 맛과 부드러운 탄닌맛을 내며 장미향을 지녀 연인들의 와인, 디저트 와인이라고도 불린다. 기존 캠벨얼리 재배방식을 달리해 만든 와인으로 산도가 높고 드라이하며 산딸기, 체리 등의 풍부한 과일향과 바디감의 균형이 잘 어우러진 매력적이고 깔끔한 로제와인이다."
544,천매,더한주류,매실,600ml,30%,천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 천매는 황매실 100%로 5년 이상 숙성 시켜 매실청과 알코올 40도의 황매실주를 브랜딩하여 만든 매실주의 최상급 제품이다. 진한 담황색의 술로 진한 알코올향에 매실향이 함께 올라온다. 천매는 매실원주 15%보다 좀 더 단맛과 신맛이 강하고 매실맛이 더 잘 느낄 수 있다.
545,무주구천동머루와인,덕유양조,머루,750ml,12%,22년에 역사와 고향의 혼이 담긴 구천동머루와인은 무주에서 생산되는 머루로 만든 품질이 격상된 과실주다. 전통방식으로 숙성시켜 만든 구천동 머루와인은 알코올 도수가 낮아 부드럽게 취하고 뒤끝이 깨끗하여 여성들도 먹기에 편하며 정다운 대화가 필요한 곳이나 선물용으로 적합한 전통 와인이다.
546,부안참뽕와인,동진주조,"정제수, 오디(국내산), 주정, 과당",750ml,13%,오디를 발효숙성한 한국 스위트 와인입니다. 6월에 수확한 오디만을 사용해 6개월 동안 숙성시켜 생산합니다. 오디에는 혈당강화성분과 고혈압억제물질이 함유되어 있습니다. 저온 숙성으로 부드러움을 극대화하였으며 달달하고 깔끔한 맛에 부드러운 목 넘김이 느껴진다.
547,두레앙와인,두레양조,거봉포도,750ml,12%,와인의 떫은 맛을 내는 타닌 성분이 강하지 않고 특유의 감칠맛이 뛰어나 와인 입문자와 식전주로 제격인 와인이다. 와인 제조에 사용하는 천안 입장 지역의 거봉 포도는 알이 굵고 단맛이 높아 남녀노소 누구나 좋아하는 명품 포도이다.
548,뱅꼬레 레드와인,한국와인,양조용포도(영천),375ml,12%,"뱅꼬레 레드와인은 과일의 복합적인 아로마가 풍부한 짙은 루비색의 와인이다. 알싸한 산미와 부드럽고 감미로운 과실향이 어우러져 은은한 여운을 남기는 와인이다. 옅은 당도와 적당한 탄닌은 오랫동안 그 향과 맛을 기억하게 한다. 육류와 잘 어울리며, 불고기, 떡갈비 등 한국 고유의 음식과도 잘 어울린다."
549,뱅꼬레 로제와인,한국와인,양조용포도(영천),375ml,11.5%,"뱅꼬레 로제와인은 노을을 연상시키는 분홍빛을 띄고 있으며 사과, 자두, 복숭아의 복합적인 과일향과 적당한 달콤새콤함이 조화로운 미디엄 바디 와인이다. 적당한 당도와 산도로 35년간 한국와인을 연구하고 생산해온 한국와인의 선구자 하형태 대표의 역작이다."
550,뱅꼬레 아이스와인,한국와인,양조용포도(영천),375ml,12%,"뱅꼬레 아이스와인은 짙은 황금빛을 띄며 신선한 아로마 향이 가득한 디저트와인이다. 벌꿀과 과일 향이 발산하는 감미로운 달콤함으로 술을 마시는 것도 잊게 만드는 로맨틱한 와인이다. 아이스와인은 캐나다, 독일 등 몇 나라에서만 생산되는 달콤한 디저트 와인으로 동결된 포도로 제조한 농도가 짙다."
551,고도리 복숭아와인,고도리 와이너리,복숭아(경북 영천),750ml,6.5%,"복숭아의 당도가 가장 높은 8월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인이다. 또한, 고도리 북숭아와인은 맑고 투명한 색에 은은한 복숭아 향이 풍겨 나오는 매력적인 와인으로 영천시에서 생산한 과실로 만든 또 하나의 역작이다."
552,고도리 화이트와인 드라이,고도리 와이너리,거봉포도(영천),750ml,10.5%,"고도리 화이트와인 드라이는 농산물우수관리(GAP)인증 100% 친환경 거봉포도로 만들어진다. 포도의 당도가 가장 높은 10월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산한다. 저온에서 6개월 이상 2차 숙성을 거쳐 주석산을 제거하고 젖산 발효시켜 아로마틱한 부케향이 풍부하고 식빵향, 레몬향, 풀잎향을 맡을 수 있다.  깔끔하고 감미롭고 여운이 길게 남는다는 평가를 받으며 국내 최고의 와인으로 꼽히고 있다."
553,고도리 레드와인 스위트,고도리 와이너리,MBA 머루포도(영천),750ml,12%,고도리 레드와인 스위트는 농산물우수관리(GAP)인증 100% 친환경 MBA 머루포도로 만들어진다. 포도의 당도가 가장 높은 11월 초 서리가 내리기 시작하면 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인이다. 영천에서 자란 MBA 머루포도를 25도의 고온에서 발효시켜 2차로 젖산 발효과정을 거친다. 풍부한 아로마틱 향이 풍부하고 1년의 오크통 숙성으로 깊은 오크향과 과실향이 어우러진 와인이다.
554,고도리 청수 와인,고도리 와이너리,포도(청수),750ml,10.5%,GAP인증 청수 포도의 당도가 가장 높은 8월 중순에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산하고 아로마틱한 부케향이 풍부한 청수 와인이다.
555,감악산 산머루주,산머루농원,"머루원액 78.5%(경기 파주), 주정(국내산, 수입산)",360ml,12%,"머루는 쌍떡잎식물 갈매나무목 포도과에 속하는 덩굴식물로 우리나라, 일본, 중국 등지에 분포한다. 감악산 산머루주는 감악산 주변 농가에서 무공해로 재배한 친환경 머루만을 사용하는 과실주다. 9월 경 잘 익은 머루를 수확해 줄기와 병든 머루 등 불순물을 제거한 뒤 착즙기를 이용해 제조힌다. 감악산 머루주는 친환경 재배 기술을 사용하는 데다 전통비법으로 만든 질그릇 항아리에 100% 머루만으로 술을 빚는다. 단맛은 거의 없고 시큼하면서도 머루의 무거운 향이 입안에 오래 남는다."
556,빙탄복,배상면주가,복분자,370ml,7%,"빙탄복은 저온 숙성 탄산 복분자술이다. 시원하게 복을 삼킨다는 의미를 담고 있는 빙탄복은 자연 발효로 빚은 복분자술을 저온 장기 숙성하고 탄산을 가미해 상큼하고 시원한 맛은 물론, 복분자 특유의 깊은 맛을 느낄 수 있다. 패키지에는 빨대를 부착해 마시는 재미를 부각시켰다."
557,복분자음,배상면주가,"복분자(국내산), 정제수",375ml,12%,복분자음은 고창의 대표농산물인 복분자로 만든 복분자주다. 복분자의 많은 기능성 성분을 함유하고 있을 뿐만 아니라 복분자 특유의 맛과 향을 간직하고 있다. 복분자 생산에 알맞은 천혜의 환경으로 유명한 고창 선운산 복분자로 빚은 복분자음은 신선한 복분자만을 100% 사용하여 타제품에 비해 복분자 함량이 월등히 높아 진한 과실의 맛을 느낄 수 있는 제품이다.
558,레드 와인 500,고도리 와이너리,친환경 거봉 포도,500ml,12%,와이너리에서 자가 생산한 MBA(머루포도)를 11월 초 서리가 내릴 때 높은 당도의 포도를 수확하여 당을 첨가하지 않고 발효한 와인이다. 25도의 고온에서 발효되며 2차 젖산 발효를 거치면서 풍부한 아로마틱 향이 생성되고 1년의 오크숙성으로 깊은 오크향이 우러나와 부드럽고 과일향이 풍부하다.
559,추사 로제,예산사과와인,사과,375ml,12%,사과의 표면만 아니라 속까지 빨간색을 띄는 레드러브(Red Love)품종으로 만들어진 와인으로 일반적인 사과와인이 맑고 꿀물 같은 황금빛 인데 비해 속 빨간 사과를 이용하여 양조를 했기 때문에 장미색을 띄어 로제와인이라 지칭안다. 연한 핑크 빛의 술로 사과를 입에 넣고 깨물어 나온 즙의 느낌을 그대로 느낄 수 있다. 입 안에서는 연한 단맛과 신맛이 조화롭고 살짝 느껴지는 쓴맛이 과실주의 맛을 더욱 좋게 만들어 준다.
560,한스오차드 사과와인,㈜한국애플리즈,사과,750ml,11%,옅은 레몬색을 띄고 있으며 은은한 사과향을 간직하고 있다. 입안에서는 상큼한 당도와 함께 사과의 풍미가 느껴지는 제품이다. 전통 황토옹기에서 7년을 숙성하여 맛이 깊고 아이스와인 스타일이라 달콤한 맛이 특징이다.
561,애피소드 애플,㈜한국애플리즈,사과,500ml,3.5%,애피소드 애플은 한국애플리즈의 제조기술로 탄생한 사과와인에 탄산을 넣고 알코올 도수를 낮춘 탄산와인이다. 애플사이다를 표방하는데 프랑스에서 시드르라고 불리며 사과즙을 활용한 발효주이고 영어로는 사이다라고 대중적인 주류로 널리 음용되고 있다. 애피소드 애플은 탄산을 머금은 스파클링 사이다로서 입안 가득 상쾌한 사과향을 느낄 수 있는 저알코올 제품이다.
562,애피소드 상그리아,㈜한국애플리즈,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",500ml,3.5%,"애피소드상그리아는 사과와인으로 유명한 한국애플리즈에서 선보이는 새로운 제품이다. 2030대 젊은 층을 위해 출시한 제품으로 포도와인에 탄산과 당을 가미하여 청량감과 달콤한 맛을 선호하는 젊은층에게 호응을 얻고 있다. 특유의 달콤함과 청량감 가득한 탄산, 그리고 저알코올로 가볍게 마실 수 있다. 애피소드 시리즈는 애플, 상그리아, 호프 3종이 출시되어 있다. 상그리아는 스페인의 전통적인 파티 칵테일 음료로 피를 의미하는 스페인어에서 유래되었다."
563,스타베리오디,한국와인,양조용포도(영천),500ml,12%,보현산 천문대가 위치한 영천시의 상징이 별(star)이기에 스타베리 오디와인이라고 브랜드명을 지었다. 동의보감에 오디주를 상심주라고 불렀고 예로부터 수명을 늘려주는 술로 백발을 검게 만들과 노화를 방지한다고 쓰여있다. 스타베리 오디와인은 뽕나무 열매 오디로 빚은 100% 정통발효 와인이다. 아름다운 루비색을 띄며 한국 교유 과실의 복합적인 아로마향과 매력적인 부케를 즐길 수 있는 한국와인이다.
564,고도리 화이트와인 스위트,고도리 와이너리,거봉포도(영천),750ml,10.5%,고도리 화이트와인 스위트는 농산물우수관리(GAP)인증 100% 친환경 거봉포도로 만들어진다. 포도의 당도가 가장 높은 10월말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산한다.
565,고창선운산 땡큐복분자주,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수",300ml,13%,고창선운산에서 생산하는 고창선운산 땡큐복분자주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 좋다. 붉은 흑진주처럼 술 빛이 매혹적이다. 아주 미세하게 쓴맛이 있지만 다른 복분자주에 비해 전체적으로 단맛이 중심을 잡고 있어 누구라도 편하게 마실 수 있다.
566,고창선운산 복분자주 특1호,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수",1800ml,15%,고창선운산에서 생산하는 고창선운산 복분자주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 붉은 흑진주처럼 술 빛이 매혹적이다. 아주 미세하게 쓴맛이 있지만 다른 복분자주에 비해 전체적으로 단맛이 중심을 잡고 있어 누구라도 편하게 마실 수 있다.
567,쿨샷 7.5,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수",300ml,7.5%,"""쿨샷7.5""는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 쿨샷7.5 한 병에는 55알의 햇복분자에서 착즙한 과즙이 들어있어 천연과즙음료를 마시는 것처럼 복분자주를 가볍게 즐길 수 있게 만든 제품이다."
568,고창선운산 땡큐블루베리주,고창선운산,"블루베리과실, 주정, 효모, 구연산, 정제수",300ml,13%,블루베리주는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 블루베리 중 당도와 과육이 뛰어난 1등급 수확 분으로 빚어 단맛과 신맛이 조화를 이루어 블루베리 고유의 맛과 향이 뛰어나다. 비교적 낮은 알코올도수 13%로 와인처럼 가볍게 즐길 수 있는 제품이다.
569,감그린 레귤러,청도감와인,감(국내산),750ml,12%,"""감그린 레귤러""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다."
570,감그린 스페셜,청도감와인,감(국내산),750ml,12%,"""감그린 스페셜""은 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다."
571,감그린 아이스와인,청도감와인,감(국내산),375ml,10%,"""감그린 아이스와인""는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다."
572,공주애 오디와인,사곡양조원,"국내산 오디, 정제수, 주정, 과당, 효모",375ml,15%,"공주애 오디와인은 공주에서 재배한 오디를 원료로 저온발효, 저온숙성을 통해 빚은 오디가 듬뿍 담긴 과실주이다. 아름다운 빛깔과 깊은 풍미로 눈과 입이 즐거워지는 술로 오디의 달콤함과 부드러운 맛이 일품이다. 6월 중순 흑자색으로 익은 오디는 과실에 함유되어 있는 다양한 영양성분으로 기능성식품의 재료로서 각광 받아 왔다. 양지바른 산기슭에서 농부의 땀과 정성으로 자란 청정 오디를 전통기법으로 발효. 숙성시킨 제품이다."
573,추사 애플와인,예산사과와인,사과(국내산),375ml,12%,추사 애플와인은 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 국내외 주류품평회에서 매년 우수한 성적을 거두고 있는 제품으로 꿀물과 같은 황금빛 색깔에 금가루가 들어 있다. 장인이 사과농사를 짓고 사위가 와인을 만들고 다양한 체험관광 프로그램이 마련되어 있어 농업 6차산업의 성공모델로 조명 받고 있다.
574,추사 블루베리 와인,예산사과와인,"예산블루베리 60%(국내산), 설탕, 구연산, 무수아황산, 소르빈산칼륨",375ml,11%,충남 예산에서 친환경 농법으로 재배한 블루베리로 만든 와인이다. 추사 애플와인의 제조사로 유명한 예산사과와인의 신제품으로 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 예산군에서는 100여곳의 농가에서 우수한 품질의 블루베리를 재배하고 있다
575,샤토미소 레드 스위트,도란원,"포도, 산화방지제, 효모, 설탕 등",750ml,12%,"산머루, 캠벨을 블랜딩하여, 독창적인 자연의 맛과 향이 풍부하고 붉은 자주 빛의 루비색이 매력적인 와인이다. 딸기 향과 붉은 꽃 향기의 스위트한 풍미가 있고 농익은 포도향의 아로마가 포도를 깨문듯한 느낌으로 산미가 살아있으며, 당도, 산도, 탄닌의 균형이 조화롭다. 산미가 적고 단맛이 강해 입 안에 풍부한 향을 채운다. 혀에 남은 탄닌에 의한 떫은 맛이 인상적이며 목넘김이 부드럽다."
576,샤토미소 레드 드라이,도란원,"MBA, 산머루, 캠벨 얼리",750ml,13%,"MBA, 산머루, 캠벨 얼리를 블렌딩한 것으로 독창적인 건조와 아이스와인 제조 방법을 접목해 고농축하여 만든 소량 생산의 프리미엄 와인이다. 진한 루비색으로 농익은 과실 향과 미네랄 향이 나며 오크의 풍미와 산미,파워,긴 여운이 있는 대나무 숙성와인이다."
577,여포의 꿈 (화이트),여포와인농장,국내산 포도,750ml,12%,여포의 꿈 화이트는 수확 후 24시간 맛세레이션(침용) 후 저온 발효시켜 만들며 연한 살구 빛이 매력적으로 감도는 와인이다. 달콤함과 부드러운 산도의 아로마틱한 맛은 한국 화이트와인의 매력을 그대로 느끼기에 충분하다.
578,초선의 꿈,여포와인농장,국내산 포도,375ml,12%,"초선의 꿈 (로제)은 특별한 기념일에 함께 마시면 장밋빛 사랑이 솔솔 피어날 듯한 연분홍 장미색을 가진 와인으로, 풍부한 장미향과 상큼한 사과 향은 목 넘김을 부드럽게 해주고 감미롭고 달콤한 맛에 여성분들이 좋아하는 와인이다."
579,샤토미소 랑,도란원,청수,375ml,12%,샤토미소 랑은 충북 옥천 포도연구소와 농촌진흥청에서 육종개발한 화이트와인 양조용 포도품종 청수를 원료로 만든 화이트와인이다. 청포도의 싱그러운 맛과 산미가 생생하게 살아 있으며 상큼한 청포도 향이 매혹적인 와인이다. 2018년 대한민국 주류대상 Best of Best상을 수상하고 같은 해 2018년 아시아 와인트로피 골드메달을 수상하며 권위 있는 주류품평회에서 맛과 품질을 인정 받았다.
580,스파클링와인 오미로제 결,오미나라,오미자,750ml,12%,"유기농 오미자를 3년이상 숙성하여 만들었으며, 향긋한 붉은 과일의 섬세한 버블이 코를 자극한다. 첫 맛은 새콤달콤하고, 뒤이어 다시 한번 향긋한 맛이 입안 전체를 감싼다. 목넘김과 함께 갈증이 사라지고, 긴 자연의 향기가 여운으로 남는다."
581,혼디주,㈜시트러스,"제주산감귤, 백설탕, 구연산, 무수아황산",330ml,12%,감귤의 단맛과 신맛이 조화를 이루어 감칠맛이 뛰어난 혼디주는 감귤연구소에서 개발한 특허 효모를 사용해 발효시켰다. 누룩을 사용하지 않아서 특유의 누룩취가 없으며 달콤하고 산뜻한 과실향을 느낄 수 있다. 혼디주 한 병에는 감귤 세 개의 과즙이 함유되어 있으며 열을 가한 농축액이 아닌 신선한 주스를 사용한다.
582,심술 알쓰,배상면주가,복분자,180ml,3.8%,"심술알쓰는 과음하지 않는 젊은 세대의 음주문화를 반영해 실제 3.85도 낮은 알코올 도수로 주량이 약한 사람도 부담 없이 즐길 수 있다. 제품명으로 활용된 ""알쓰""라는 단어도 주량이 약한 사람들을 지칭하는 신조어를 재미있게 풀어냈다."
583,산머루 크라테 스위트,수도산와이너리,산머리(국내산),750ml,11.5%,아시아 원산지 비티스 아무렌 시스계통의 산머루는 당도와 산도가 높은 품종으로 우리나라 포도를 대표하는 주요 레드 와인 품종이다. 오래 숙성할 수 있으며 향신료 향이 강하고 무거운 무게감을 느낄 수 있는 레드 와인이다.
584,로제와인,갈기산포도농원,포도(국내산),550ml,12%,"갈기산 포도 농원은 청수, 킹데라, 나이아가라 등 국내에서 많이 재배되지 않은 특징 있는 로제와인 품종을 재배하고 있다. 포도의 고장 영동에서 친환경 유기농법으로 재배한 켐벨포도로 만들었으며, 산미가 풍부하고 옅은 장미향이 느껴진다."
585,요새로제,댄싱사이더컴퍼니,"사과즙(국산), 오미자, 라즈베리차, 정제수, 효모, 사관산(산도조절제), 탄산가스, 메타중아황산칼륨(산화방지제)",750ml,6.4%,인공색소나 착향료로 색과 향을 내지 않았다. 주 재료인 베리류의 산뜻함을 고스란히 담아 상큼하고 청량한 맛이 일품인 애플사이더다. 냉장보관 후 내용물이 잘 섞이게 흔들어 마시면 더 맛있게 즐길 수 있다.
